state,population,n_killed,n_injured,adj_killings,adj_injuries,Total Incidents,normalized_killings,normalized_injuries,adj_killings_million,adj_injured_million,adj_total_million
South Dakota,869666,90,114,10.34880057,13.10848073,23.4572813,0.000103488,0.000131085,103.4880057,131.0848073,234.572813
Utah,3101833,282,402,9.091398538,12.96007877,22.05147731,9.0914E-05,0.000129601,90.91398538,129.6007877,220.514773
Wyoming,579315,73,52,12.60108922,8.976118347,21.57720757,0.000126011,8.97612E-05,126.0108922,89.76118347,215.7720756
Vermont,623657,57,73,9.139639257,11.70515203,20.84479129,9.13964E-05,0.000117052,91.39639257,117.0515203,208.4479129
Idaho,1716943,166,149,9.66834659,8.678214711,18.3465613,9.66835E-05,8.67821E-05,96.6834659,86.78214711,183.465613
Maine,1335907,112,132,8.383817137,9.88092734,18.26474448,8.38382E-05,9.88093E-05,83.83817137,98.8092734,182.6474448
New Hampshire,1342795,88,144,6.553494763,10.72390052,17.27739528,6.55349E-05,0.000107239,65.53494763,107.2390052,172.7739528
Hawaii,1427538,63,85,4.413192503,5.954307346,10.36749985,4.41319E-05,5.95431E-05,44.13192503,59.54307346,103.6749985
,,,,,,,,,,,
,,,,,,58.07192522,,,,,
