,state,city,city_state,n_killed,n_injured,population,killed_normalized,injured_normalized,kill_million,injured_million,total
27635,Wisconsin,Grand Marsh,"Grand Marsh, Wisconsin",0,1,145,0,0.006896552,0,6896.551724,6896.551724
19745,Oklahoma,Foss,"Foss, Oklahoma",1,0,145,0.006896552,0,6896.551724,0,6896.551724
26669,Washington,Maple Falls,"Maple Falls, Washington",0,1,146,0,0.006849315,0,6849.315068,6849.315068
22882,South Carolina,Walterboro,"Walterboro, South Carolina",16,49,9550,0.001675393,0.00513089,1675.39267,5130.890052,6806.282723
18513,Ohio,Clifton,"Clifton, Ohio",0,1,147,0,0.006802721,0,6802.721088,6802.721088
24841,Texas,Palo Pinto,"Palo Pinto, Texas",0,1,147,0,0.006802721,0,6802.721088,6802.721088
20912,Pennsylvania,Daisytown,"Daisytown, Pennsylvania",1,1,294,0.003401361,0.003401361,3401.360544,3401.360544,6802.721088
17592,North Carolina,Milton,"Milton, North Carolina",1,0,147,0.006802721,0,6802.721088,0,6802.721088
271,Alabama,Hurtsboro,"Hurtsboro, Alabama",2,2,589,0.003395586,0.003395586,3395.585739,3395.585739,6791.171477
10050,Kentucky,Spottsville,"Spottsville, Kentucky",2,1,442,0.004524887,0.002262443,4524.886878,2262.443439,6787.330317
17294,North Carolina,Clarkton,"Clarkton, North Carolina",2,3,738,0.002710027,0.004065041,2710.0271,4065.04065,6775.067751
24008,Texas,Colmesneil,"Colmesneil, Texas",4,0,591,0.00676819,0,6768.189509,0,6768.189509
5117,Georgia,Girard,"Girard, Georgia",0,1,148,0,0.006756757,0,6756.756757,6756.756757
27169,West Virginia,Leon,"Leon, West Virginia",0,1,148,0,0.006756757,0,6756.756757,6756.756757
19794,Oklahoma,Haworth,"Haworth, Oklahoma",2,0,296,0.006756757,0,6756.756757,0,6756.756757
22560,South Carolina,Campobello,"Campobello, South Carolina",2,2,593,0.003372681,0.003372681,3372.681282,3372.681282,6745.362563
8679,Iowa,Rhodes,"Rhodes, Iowa",0,2,297,0,0.006734007,0,6734.006734,6734.006734
10008,Kentucky,Rockholds,"Rockholds, Kentucky",0,2,297,0,0.006734007,0,6734.006734,6734.006734
13040,Mississippi,Lauderdale,"Lauderdale, Mississippi",0,3,446,0,0.006726457,0,6726.457399,6726.457399
13521,Missouri,Elmo,"Elmo, Missouri",1,0,150,0.006666667,0,6666.666667,0,6666.666667
7607,Indiana,Metamora,"Metamora, Indiana",0,1,151,0,0.006622517,0,6622.516556,6622.516556
20287,Oregon,Chiloquin,"Chiloquin, Oregon",2,3,755,0.002649007,0.00397351,2649.006623,3973.509934,6622.516556
7451,Indiana,Gary,"Gary, Indiana",172,323,74879,0.002297039,0.004313626,2297.039223,4313.625983,6610.665207
17305,North Carolina,Columbia,"Columbia, North Carolina",1,4,759,0.001317523,0.005270092,1317.523057,5270.092227,6587.615283
13091,Mississippi,Mount Olive,"Mount Olive, Mississippi",3,3,912,0.003289474,0.003289474,3289.473684,3289.473684,6578.947368
5669,Idaho,Bliss,"Bliss, Idaho",0,2,305,0,0.006557377,0,6557.377049,6557.377049
15162,Nebraska,Waterloo,"Waterloo, Nebraska",0,6,915,0,0.006557377,0,6557.377049,6557.377049
9612,Kentucky,Beattyville,"Beattyville, Kentucky",7,1,1221,0.005733006,0.000819001,5733.005733,819.000819,6552.006552
22876,South Carolina,Vance,"Vance, South Carolina",0,1,153,0,0.006535948,0,6535.947712,6535.947712
3523,Colorado,Grover,"Grover, Colorado",1,0,153,0.006535948,0,6535.947712,0,6535.947712
19771,Oklahoma,Gracemont,"Gracemont, Oklahoma",2,0,306,0.006535948,0,6535.947712,0,6535.947712
27206,West Virginia,Montrose,"Montrose, West Virginia",1,0,153,0.006535948,0,6535.947712,0,6535.947712
14510,Montana,Reed Point,"Reed Point, Montana",2,0,307,0.006514658,0,6514.65798,0,6514.65798
315,Alabama,Louisville,"Louisville, Alabama",0,3,462,0,0.006493506,0,6493.506494,6493.506494
28165,Wyoming,Centennial,"Centennial, Wyoming",1,1,308,0.003246753,0.003246753,3246.753247,3246.753247,6493.506494
13510,Missouri,Edgerton,"Edgerton, Missouri",4,0,616,0.006493506,0,6493.506494,0,6493.506494
12913,Mississippi,Brooksville,"Brooksville, Mississippi",2,5,1083,0.001846722,0.004616805,1846.722068,4616.805171,6463.527239
22616,South Carolina,Estill,"Estill, South Carolina",5,7,1857,0.002692515,0.003769521,2692.514809,3769.520732,6462.035541
7132,Illinois,Venice,"Venice, Illinois",2,10,1858,0.001076426,0.005382131,1076.426265,5382.131324,6458.557589
27116,West Virginia,Great Cacapon,"Great Cacapon, West Virginia",3,0,465,0.006451613,0,6451.612903,0,6451.612903
24049,Texas,Crosby,"Crosby, Texas",8,9,2645,0.003024575,0.003402647,3024.574669,3402.646503,6427.221172
22700,South Carolina,Lamar,"Lamar, South Carolina",1,5,935,0.001069519,0.005347594,1069.518717,5347.593583,6417.112299
20131,Oklahoma,Taloga,"Taloga, Oklahoma",1,1,312,0.003205128,0.003205128,3205.128205,3205.128205,6410.25641
639,Alaska,Coldfoot,"Coldfoot, Alaska",1,0,156,0.006410256,0,6410.25641,0,6410.25641
9436,Kansas,Randolph,"Randolph, Kansas",1,0,156,0.006410256,0,6410.25641,0,6410.25641
3348,Colorado,Alma,"Alma, Colorado",1,1,313,0.003194888,0.003194888,3194.888179,3194.888179,6389.776358
244,Alabama,Hayneville,"Hayneville, Alabama",3,2,784,0.003826531,0.00255102,3826.530612,2551.020408,6377.55102
756,Alaska,Lower Kalskag,"Lower Kalskag, Alaska",1,1,314,0.003184713,0.003184713,3184.713376,3184.713376,6369.426752
6904,Illinois,Reddick,"Reddick, Illinois",1,0,157,0.006369427,0,6369.426752,0,6369.426752
17839,North Carolina,Vass,"Vass, North Carolina",0,5,789,0,0.006337136,0,6337.135615,6337.135615
17216,North Carolina,Bennett,"Bennett, North Carolina",1,2,476,0.00210084,0.004201681,2100.840336,4201.680672,6302.521008
5373,Georgia,Santa Claus,"Santa Claus, Georgia",1,0,159,0.006289308,0,6289.308176,0,6289.308176
17368,North Carolina,Enfield,"Enfield, North Carolina",5,10,2399,0.002084202,0.004168404,2084.201751,4168.403501,6252.605252
22588,South Carolina,Cordova,"Cordova, South Carolina",0,1,160,0,0.00625,0,6250,6250
10458,Louisiana,Palmetto,"Palmetto, Louisiana",1,0,160,0.00625,0,6250,0,6250
23377,Tennessee,Cottontown,"Cottontown, Tennessee",2,0,320,0.00625,0,6250,0,6250
22614,South Carolina,Elloree,"Elloree, South Carolina",1,3,641,0.001560062,0.004680187,1560.062402,4680.187207,6240.24961
8911,Iowa,Woolstock,"Woolstock, Iowa",0,1,161,0,0.00621118,0,6211.180124,6211.180124
8990,Kansas,Bucyrus,"Bucyrus, Kansas",2,0,322,0.00621118,0,6211.180124,0,6211.180124
